indication_mesh_id,indication_mesh_term,n_total,n_included,n_linked,n_A,n_B,included_A,included_B,retention_rate,linkage_rate,retention_A,retention_B
D007946,"Leukemia, Mast-Cell",1,0,0,0,1,0,0,0.0,0.0,,0.0
D007965,"Leukodystrophy, Globoid Cell",1,0,0,0,1,0,0,0.0,0.0,,0.0
D007966,"Leukodystrophy, Metachromatic",1,0,0,0,1,0,0,0.0,0.0,,0.0
D007970,Leukopenia,1,1,1,1,0,1,0,1.0,1.0,1.0,
D008059,Mucopolysaccharidosis I,1,0,0,0,1,0,0,0.0,0.0,,0.0
D008103,Liver Cirrhosis,1,1,1,0,1,0,1,1.0,1.0,,1.0
D008224,"Lymphoma, Follicular",1,1,1,0,1,0,1,1.0,1.0,,1.0
D012628,"Dermatitis, Seborrheic",1,0,1,0,1,0,0,0.0,1.0,,0.0
D013036,"Spasms, Infantile",1,0,0,0,1,0,0,0.0,0.0,,0.0
D013276,Stomach Ulcer,1,1,1,0,1,0,1,1.0,1.0,,1.0
D013625,Takayasu Arteritis,1,1,1,0,1,0,1,1.0,1.0,,1.0
D013661,Tay-Sachs Disease,1,0,0,0,1,0,0,0.0,0.0,,0.0
D013683,"Telangiectasia, Hereditary Hemorrhagic",1,0,0,0,1,0,0,0.0,0.0,,0.0
D013924,Thrombophlebitis,1,1,1,1,0,1,0,1.0,1.0,1.0,
D014647,Varicose Ulcer,1,1,1,0,1,0,1,1.0,1.0,,1.0
D014657,Vasculitis,1,1,1,0,1,0,1,1.0,1.0,,1.0
D014693,Ventricular Fibrillation,1,0,0,1,0,0,0,0.0,0.0,0.0,
D014808,Vitamin D Deficiency,1,0,0,1,0,0,0,0.0,0.0,0.0,
D014923,Wiskott-Aldrich Syndrome,1,0,0,0,1,0,0,0.0,0.0,,0.0
D014983,Xeroderma Pigmentosum,1,1,1,0,1,0,1,1.0,1.0,,1.0
D006962,"Hyperparathyroidism, Secondary",1,1,1,1,0,1,0,1.0,1.0,1.0,
D006966,Hyperprolactinemia,1,0,0,0,1,0,0,0.0,0.0,,0.0
D006980,Hyperthyroidism,1,1,1,0,1,0,1,1.0,1.0,,1.0
D006996,Hypocalcemia,1,1,1,0,1,0,1,1.0,1.0,,1.0
D007006,Hypogonadism,1,0,0,0,1,0,0,0.0,0.0,,0.0
D007011,Hypoparathyroidism,1,0,0,0,1,0,0,0.0,0.0,,0.0
D007014,Hypophosphatasia,1,1,1,1,0,1,0,1.0,1.0,1.0,
D007037,Hypothyroidism,1,1,1,1,0,1,0,1.0,1.0,1.0,
D007863,Lecithin Cholesterol Acyltransferase Deficiency,1,1,1,0,1,0,1,1.0,1.0,,1.0
D007889,Leiomyoma,1,1,1,1,0,1,0,1.0,1.0,1.0,
D006177,Gynecomastia,1,1,1,0,1,0,1,1.0,1.0,,1.0
D006333,Heart Failure,1,1,1,0,1,0,1,1.0,1.0,,1.0
D006463,Hemolytic-Uremic Syndrome,1,0,0,0,1,0,0,0.0,0.0,,0.0
D006712,Homocystinuria,1,1,1,0,1,0,1,1.0,1.0,,1.0
D006816,Huntington Disease,1,0,0,0,1,0,0,0.0,0.0,,0.0
D006934,Hypercalcemia,1,1,1,1,0,1,0,1.0,1.0,1.0,
D015209,"Cholangitis, Sclerosing",1,0,0,0,1,0,0,0.0,0.0,,0.0
D015223,Wolman Disease,1,0,0,1,0,0,0,0.0,0.0,0.0,
D015794,Choroideremia,1,0,0,0,1,0,0,0.0,0.0,,0.0
D016464,Lysosomal Storage Diseases,1,0,0,0,1,0,0,0.0,0.0,,0.0
D016491,Peripheral Vascular Diseases,1,1,1,0,1,0,1,1.0,1.0,,1.0
D004828,"Epilepsies, Partial",1,1,1,1,0,1,0,1.0,1.0,1.0,
D004916,Erythromelalgia,1,0,0,0,1,0,0,0.0,0.0,,0.0
D005168,Factor VII Deficiency,1,1,1,0,1,0,1,1.0,1.0,,1.0
D005173,Factor XI Deficiency,1,1,1,1,0,1,0,1.0,1.0,1.0,
D005621,Friedreich Ataxia,1,0,0,0,1,0,0,0.0,0.0,,0.0
D005776,Gaucher Disease,1,0,0,1,0,0,0,0.0,0.0,0.0,
D003704,Dementia,1,1,1,0,1,0,1,1.0,1.0,,1.0
D003928,Diabetic Nephropathies,1,1,1,0,1,0,1,1.0,1.0,,1.0
D003929,Diabetic Neuropathies,1,1,1,0,1,0,1,1.0,1.0,,1.0
D004381,Duodenal Ulcer,1,1,1,0,1,0,1,1.0,1.0,,1.0
D004485,Eczema,1,1,1,0,1,0,1,1.0,1.0,,1.0
D004715,Endometriosis,1,1,1,1,0,1,0,1.0,1.0,1.0,
D004820,Epidermolysis Bullosa,1,0,0,1,0,0,0,0.0,0.0,0.0,
D016532,Mucopolysaccharidosis II,1,0,0,1,0,0,0,0.0,0.0,0.0,
D016537,"Gangliosidosis, GM1",1,0,0,0,1,0,0,0.0,0.0,,0.0
D016538,Mucopolysaccharidosis VII,1,0,0,1,0,0,0,0.0,0.0,0.0,
D016584,Panic Disorder,1,1,1,0,1,0,1,1.0,1.0,,1.0
D017204,Angelman Syndrome,1,0,0,0,1,0,0,0.0,0.0,,0.0
D017674,Hypophosphatemia,1,1,1,0,1,0,1,1.0,1.0,,1.0
D018316,Gliosarcoma,1,0,0,0,1,0,0,0.0,0.0,,0.0
D002446,Celiac Disease,1,1,1,0,1,0,1,1.0,1.0,,1.0
D002761,Cholangitis,1,1,1,0,1,0,1,1.0,1.0,,1.0
D002780,"Cholestasis, Intrahepatic",1,0,0,0,1,0,0,0.0,0.0,,0.0
D003233,"Conjunctivitis, Allergic",1,0,0,0,1,0,0,0.0,0.0,,0.0
D003414,Crigler-Najjar Syndrome,1,1,1,0,1,0,1,1.0,1.0,,1.0
D003528,"Carcinoma, Adenoid Cystic",1,0,0,0,1,0,0,0.0,0.0,,0.0
D003550,Cystic Fibrosis,1,0,0,1,0,0,0,0.0,0.0,0.0,
D019337,Hematologic Neoplasms,1,1,1,0,1,0,1,1.0,1.0,,1.0
