ti_uid,ancestry,allocated_n,total_n,p
CASP8-D008175,European,55640.0,108950.0,0.5106929784304727
CASP8-D015179,East Asian,160589.0,160589.0,1.0
CASR-D006934,African,5576.0,1685296.0,0.003308617595959404
CASR-D006934,East Asian,239661.0,1685296.0,0.14220706629577237
CASR-D006934,European,1429416.0,1685296.0,0.8481691050118199
CASR-D006934,South Asian,10643.0,1685296.0,0.006315211096448339
CASR-D006962,European,29155.0,29155.0,1.0
CASR-D006996,African,5576.0,1685296.0,0.003308617595959404
CASR-D006996,East Asian,239661.0,1685296.0,0.14220706629577237
CASR-D006996,European,1429416.0,1685296.0,0.8481691050118199
CASR-D006996,South Asian,10643.0,1685296.0,0.006315211096448339
CASR-D049950,European,29155.0,29155.0,1.0
CBS-D006712,European,9639.0,9639.0,1.0
CCL11-D003093,European,135504.0,135504.0,1.0
CCL11-D003424,European,135504.0,135504.0,1.0
CCL20-D003093,East Asian,11396.0,169133.0,0.06737892664352906
CCL20-D003093,European,151466.0,169133.0,0.8955437436810084
CCL20-D003093,Middle Eastern,1629.0,169133.0,0.009631473455801056
CCL20-D003093,South Asian,4642.0,169133.0,0.02744585621966145
CCL20-D004485,European,459000.0,459000.0,1.0
CCND1-D001943,East Asian,164424.0,1220335.0,0.13473677309918997
CCND1-D001943,European,1044269.0,1220335.0,0.8557232235410769
CCND1-D001943,Other Asian,11642.0,1220335.0,0.009540003359733188
CCNE1-D001943,European,140970.0,140970.0,1.0
CCR2-D001172,East Asian,26421.0,84705.0,0.31191783247742166
CCR2-D001172,European,58284.0,84705.0,0.6880821675225783
CCR2-D008269,European,68423.0,68423.0,1.0
CCR4-D003876,East Asian,343457.0,802457.0,0.4280067343172282
CCR4-D003876,European,459000.0,802457.0,0.5719932656827718
CCR4-D065631,African,8204.0,7114810.0,0.001153087714218651
CCR4-D065631,East Asian,181163.0,7114810.0,0.02546280223927273
CCR4-D065631,European,6924045.0,7114810.0,0.9731876185028131
CCR4-D065631,Hispanic/Latin American,1398.0,7114810.0,0.00019649154369547465
CCR5-D001172,East Asian,26421.0,84705.0,0.31191783247742166
CCR5-D001172,European,58284.0,84705.0,0.6880821675225783
CCR5-D008269,European,68423.0,68423.0,1.0
CCR9-D007249,European,8243.0,8243.0,1.0
CD200R1-D003876,European,859449.0,859449.0,1.0
CD274-D010051,European,113238.0,113238.0,1.0
CD28-D001172,African,2308.0,558471.0,0.004132712352118552
CD28-D001172,East Asian,311300.0,558471.0,0.557414798619803
CD28-D001172,European,244863.0,558471.0,0.43845248902807843
CD28-D001327,European,59467.0,59467.0,1.0
CD28-D011565,European,33394.0,33394.0,1.0
CD28-D012859,African,2308.0,558471.0,0.004132712352118552
CD28-D012859,East Asian,311300.0,558471.0,0.557414798619803
CD28-D012859,European,244863.0,558471.0,0.43845248902807843
CD28-D015535,European,33394.0,33394.0,1.0
CD33-D000544,European,145942.0,145942.0,1.0
CD40-D001172,African,2308.0,685927.0,0.0033647895475757625
CD40-D001172,East Asian,320599.0,685927.0,0.4673952184416126
CD40-D001172,European,363020.0,685927.0,0.5292399920108116
CD40-D003093,East Asian,11952.0,242818.0,0.04922205108352758
CD40-D003093,European,225896.0,242818.0,0.9303099440733389
CD40-D003093,Middle Eastern,1383.0,242818.0,0.005695623882908186
CD40-D003093,South Asian,3587.0,242818.0,0.014772380960225354
