replicate,estimator,n_valid_comparisons,mean_slope,median_slope
133,deming,104,1.0251159362046731,0.9857895808328571
134,naive,104,0.9739930293068395,0.9362546917248701
134,fiqt,104,0.9902666152079522,0.9473303761899023
134,deming,104,0.9989494599575459,0.9982209662420871
135,naive,104,1.0698974569232829,1.0026566184943517
135,fiqt,104,1.087394295085853,1.0211695119153394
135,deming,104,1.0322946878307089,0.9710590010447633
136,naive,104,1.0684223791106358,0.960536999793492
136,fiqt,104,1.0865093263687484,0.9653305208454377
136,deming,104,1.037925689441551,1.0267347042272534
137,naive,104,0.9242840119307691,0.9380919059806907
137,fiqt,104,0.9403220284929815,0.9438250400660224
137,deming,104,0.9644443692930811,0.9823161707826116
138,naive,104,1.057214113966083,0.9909796988112497
138,fiqt,104,1.0749022587835748,1.0219759846337002
138,deming,104,1.0388031565904439,1.0014664727273455
139,naive,104,1.0399078701770026,1.002036707970467
139,fiqt,104,1.0568403859989641,1.0270052270320218
139,deming,104,1.0241992436448073,0.9847957121096931
140,naive,104,0.9741595787972505,1.0529142200236976
140,fiqt,104,0.9899103575515937,1.0759638840915342
140,deming,104,0.9608702766029908,1.0218954088227914
141,naive,104,0.7399932566334215,0.888685622822243
141,fiqt,104,0.7553302982973015,0.9025341208260936
141,deming,104,0.8689288149460747,0.9041758895017404
142,naive,104,1.0196040956852916,1.0459327803085579
142,fiqt,104,1.0371546905038993,1.0625226480812222
142,deming,104,1.0237653201701942,1.047207090595623
143,naive,104,0.9872748048272751,1.00466165793117
143,fiqt,104,1.0040542888999546,1.0356658568421526
143,deming,104,1.047396958930442,1.0050845303452514
144,naive,104,1.0700188413143858,1.0225633023133223
144,fiqt,104,1.0876614939039562,1.0335575017811576
144,deming,104,1.0933708024230386,1.067703343862912
145,naive,104,1.0536007753074006,1.0521470733876648
145,fiqt,104,1.0717882826875045,1.066492033914566
145,deming,104,1.0025098682875706,0.9695665290601575
146,naive,104,0.9941684907959382,0.9365352912349227
146,fiqt,104,1.0121741465363259,0.965175738894507
146,deming,104,0.9722566205116685,1.0022277453071147
147,naive,104,0.924654364118603,0.9426090854037321
147,fiqt,104,0.9411611549807228,0.9629835980209994
147,deming,104,0.9396512713675572,0.9464823966169149
148,naive,104,0.9011531448655423,0.9656375201579455
148,fiqt,104,0.9171419511263479,0.9800021487788424
148,deming,104,1.0192381489783744,0.9942351550645709
149,naive,104,0.9353357830461485,0.9604512930095594
149,fiqt,104,0.95270432308968,0.9865869386700039
149,deming,104,0.9808927628861379,0.955687791964468
150,naive,104,1.0620654178378843,0.9754360115002985
150,fiqt,104,1.0802612109821959,0.9941397796624789
150,deming,104,0.9728095906254719,0.9589389756001572
151,naive,104,1.031808977620083,1.0512925541774303
151,fiqt,104,1.0510763128305318,1.0795013451667703
151,deming,104,1.0523403681616939,1.0363003690385515
152,naive,104,0.9823078648345618,0.9626412812755736
152,fiqt,104,0.998964021345463,0.9874904553959243
152,deming,104,0.9615481028331837,0.9846409645947283
153,naive,104,1.0163568767753821,1.022266876007747
153,fiqt,104,1.0332680733966022,1.0576014479371842
153,deming,104,1.0144695866312223,1.0376038628643007
154,naive,104,0.9717666616214253,0.9789489426959517
154,fiqt,104,0.9887202701684266,1.0088543672915846
154,deming,104,0.9407459586276984,1.0063919892547961
155,naive,104,1.021863975491789,1.06640443157096
155,fiqt,104,1.0393658781543045,1.0780491085271129
155,deming,104,1.0505124008920026,1.0290880602180508
156,naive,104,0.9847957122879145,1.0392323125973686
156,fiqt,104,0.999323029004764,1.059282225860156
156,deming,104,1.0014858193991079,0.9627846903682762
157,naive,104,0.9194804233912357,0.9452803853112808
157,fiqt,104,0.934778694771934,0.95491290281173
157,deming,104,0.8883349465718221,0.917991735130995
158,naive,104,0.982729895050855,1.0498370923879596
158,fiqt,104,1.000414050362455,1.0564398809044233
158,deming,104,1.0547033754244024,1.02669762893323
159,naive,104,1.0042475989648916,0.9878735959511986
159,fiqt,104,1.0226292112393982,1.0371037381830464
159,deming,104,0.969631090361848,0.9792525596425259
160,naive,104,1.0100436832666153,0.9881728727898682
160,fiqt,104,1.0273450207995753,1.020934990484416
160,deming,104,1.050096866952753,1.0035237678135167
161,naive,104,0.9426642521666279,0.9951893591772011
161,fiqt,104,0.9599987606046582,1.015379307873985
161,deming,104,0.9644828392377232,0.9655815045772187
162,naive,104,1.0381156647569012,1.0260505684414252
162,fiqt,104,1.0554644525047072,1.0420812253636471
162,deming,104,1.0394754231344194,0.9956730699181753
163,naive,104,0.9786695181910547,1.0203790432406041
163,fiqt,104,0.9976568024776059,1.0277176518487938
