exposure,model_id,n,n_A,n_B,exposure_sd,observed_beta,observed_cluster_se,observed_or_per_unit,observed_or_per_sd,target_power,alpha,mde_beta_per_unit,mde_or_per_unit,mde_beta_per_sd,mde_or_per_sd,effect_or_per_sd,approximate_power
has_south_asian,M1,790,157,633,0.424544182519218,0.496284071883209,0.23996620214271572,1.6426061097593936,1.234535166210928,0.8,0.05,0.6722857647697409,1.9587093565191027,0.28541501042347694,1.3303140077546163,,
has_south_asian,M1,790,157,633,0.424544182519218,0.496284071883209,0.23996620214271572,1.6426061097593936,1.234535166210928,,0.05,,,,,1.1,0.15471224030725395
has_south_asian,M1,790,157,633,0.424544182519218,0.496284071883209,0.23996620214271572,1.6426061097593936,1.234535166210928,,0.05,,,,,1.2,0.4324652123460089
has_south_asian,M1,790,157,633,0.424544182519218,0.496284071883209,0.23996620214271572,1.6426061097593936,1.234535166210928,,0.05,,,,,1.25,0.5911164779500085
has_south_asian,M1,790,157,633,0.424544182519218,0.496284071883209,0.23996620214271572,1.6426061097593936,1.234535166210928,,0.05,,,,,1.5,0.9783089602175951
has_south_asian,M2,790,157,633,0.424544182519218,0.23299320622939235,0.23419129465207028,1.262372903026204,1.1039734628265252,0.8,0.05,0.6561068693079788,1.9272745782810443,0.2785463544755993,1.3212078478734917,,
has_south_asian,M2,790,157,633,0.424544182519218,0.23299320622939235,0.23419129465207028,1.262372903026204,1.1039734628265252,,0.05,,,,,1.1,0.16008795653169194
has_south_asian,M2,790,157,633,0.424544182519218,0.23299320622939235,0.23419129465207028,1.262372903026204,1.1039734628265252,,0.05,,,,,1.2,0.44986257653031936
has_south_asian,M2,790,157,633,0.424544182519218,0.23299320622939235,0.23419129465207028,1.262372903026204,1.1039734628265252,,0.05,,,,,1.25,0.6119560321833425
has_south_asian,M2,790,157,633,0.424544182519218,0.23299320622939235,0.23419129465207028,1.262372903026204,1.1039734628265252,,0.05,,,,,1.5,0.9829190106827793
