==============================================================================
STEP 15E — CROSS-ANCESTRY COLOCALIZATION
==============================================================================
Primary comparisons: 538
Powered in both ancestries: 17
Pending caches: 535
Priors: p1=0.0001, p2=0.0001, p12=1e-06, 1e-05, 0.0001
Primary p12: 1e-05
==============================================================================
[240/535] cmp_8ebe601ca5aa83b8 | GLP1R | AFR
[241/535] cmp_7d1964e37a09fd0a | GLP1R | CSA
[242/535] cmp_15fa0358129dafbb | GLP1R | MID
[243/535] cmp_ffb3cf3226c5feca | HSD11B1 | AFR
[244/535] cmp_968af00a51bb2df7 | HSD11B1 | CSA
[245/535] cmp_9bf2694e57943858 | HSD11B1 | MID
[246/535] cmp_80175672b39655ce | HTR1A | AFR
[247/535] cmp_e1e56086d8f841e1 | HTR1A | CSA
[248/535] cmp_885f982fca055dee | HTR1A | MID
[249/535] cmp_71b7ddb719e3cb03 | IAPP | AFR
[250/535] cmp_ea327d1dd0a42d69 | IAPP | CSA
[251/535] cmp_586b6611324ad428 | IAPP | MID
[252/535] cmp_e34cdd484ad3fd0a | INSR | AFR
[253/535] cmp_6ec0097c5bdac67b | INSR | CSA
[254/535] cmp_72dfdcaeb4fc2bab | INSR | MID
[255/535] cmp_04802c9d74f9e732 | LEPR | AFR
[256/535] cmp_fd7bee0b4f0c8705 | LEPR | CSA
[257/535] cmp_e3f2f647f7cf5c3c | LEPR | MID
[258/535] cmp_78452397ae97612a | MAPK1 | AFR
[259/535] cmp_c4363c25ad7ffa63 | MAPK1 | CSA
[260/535] cmp_e9978fabe01afe50 | MAPK1 | MID
[261/535] cmp_d952477127ee7ec7 | MAPK3 | AFR
[262/535] cmp_5d9692961eceee6a | MAPK3 | CSA
[263/535] cmp_516979e63b81199e | MAPK3 | MID
[264/535] cmp_72348505eabd0d8c | MC1R | AFR
[265/535] cmp_216a3309e17ff325 | MC1R | CSA
[266/535] cmp_1e62bc9cfb0ae342 | MC1R | MID
[267/535] cmp_d9f3563910f04212 | MC4R | AFR
[268/535] cmp_91602ff38973e5c1 | MC4R | CSA
[269/535] cmp_795667e1dbbc5ad6 | MC4R | MID
[270/535] cmp_b0ac2fd5fb031aa4 | MTTP | AFR
[271/535] cmp_dcd0c0caf9708b43 | MTTP | CSA
[272/535] cmp_677d64c945b762f6 | MTTP | MID
[273/535] cmp_f7e745784dd20d7a | NPY | AFR
[274/535] cmp_d1be896521c16094 | NPY | CSA
[275/535] cmp_28e2956ba0ebd603 | NPY | MID
[276/535] cmp_a97ce6dedcd54341 | NPY5R | AFR
[277/535] cmp_3124ceb4d020ea5a | NPY5R | CSA
[278/535] cmp_f04fee7e22ce047a | NPY5R | MID
[279/535] cmp_2661dd42af3bfb16 | NR3C1 | AFR
[280/535] cmp_d6cd4d98314b761f | NR3C1 | CSA
[281/535] cmp_7f4279f01292e27f | NR3C1 | MID
[282/535] cmp_fac134fd4c5e31de | OPRM1 | AFR
[283/535] cmp_e1ec75f35a1f5325 | OPRM1 | CSA
[284/535] cmp_41bfc0bfca8c4bb6 | OPRM1 | MID
[285/535] cmp_3886199c657bf693 | PPARA | AFR
[286/535] cmp_ec4e6dd2b3d71823 | PPARA | CSA
[287/535] cmp_8bce042e6f6265cb | PPARA | MID
[288/535] cmp_b983f121e89ab0c9 | PPARD | AFR
[289/535] cmp_c466933c6cddc2c2 | PPARD | CSA
[290/535] cmp_3d5d09a2a4352628 | PPARD | MID
[291/535] cmp_0c1699071ec567b1 | PPARG | AFR
[292/535] cmp_c0ad4f2be6c24974 | PPARG | CSA
[293/535] cmp_9067bcfec8b6f08a | PPARG | MID
[294/535] cmp_584606d70b84e3c1 | SLC6A4 | AFR
[295/535] cmp_358a19866909a106 | SLC6A4 | CSA
[296/535] cmp_13a764bb2f83bff9 | SLC6A4 | MID
[297/535] cmp_e815770eb9507aa4 | SREBF1 | AFR
[298/535] cmp_fad25f8377228cc8 | SREBF1 | CSA
[299/535] cmp_6bf7ad80dd2a95b6 | SREBF1 | MID
[300/535] cmp_a0244726a24d8ab5 | SREBF2 | AFR
[301/535] cmp_3f9df0826c121ea6 | SREBF2 | CSA
[302/535] cmp_1b48e21c3f7fa4df | SREBF2 | MID
[303/535] cmp_b6d6dee5331ecf08 | ALDH2 | CSA
[304/535] cmp_d99728b014a8c751 | ALDH2 | MID
[305/535] cmp_5fd988295a9adf4c | APOL1 | CSA
[306/535] cmp_b5b4c386bad78c21 | APOL1 | MID
[307/535] cmp_8644f50a5deb565a | AXL | CSA
[308/535] cmp_a8d8d1f235cb23f6 | AXL | MID
[309/535] cmp_92781d6e4a2bbf69 | GLP1R | CSA
[310/535] cmp_e4f3e7a3ffef3dee | GLP1R | MID
[311/535] cmp_ad635d062a0cb6f4 | KCNJ1 | CSA
[312/535] cmp_a496afa2fb1d58f1 | KCNJ1 | MID
[313/535] cmp_952f827b629defdc | NFE2L2 | CSA
[314/535] cmp_bf3da3d8b265cacf | NFE2L2 | MID
[315/535] cmp_ab310cba496101c9 | NFKB1 | CSA
[316/535] cmp_4a7143548dc144b2 | NFKB1 | MID
