weight_scheme,model_id,exposure,formula,n,n_A,n_B,n_gene_clusters,effective_sample_size,status,error,converged,beta,cluster_robust_se,odds_ratio,ci_low,ci_high,p_value,warning_messages,n_parameters,bread_rank,design_full_rank,finite_sample_correction,condition_number
ipw_trimmed,SW1,has_replication,approval ~ has_replication,790,157,633,383,789.6388566004618,ok,,True,0.3476488561905004,0.21304839826745384,1.4157350358546115,0.9324699703342111,2.149458701632917,0.10272510718416522,,2,2,True,1.0038901586626625,2.681645523558377
ipw_trimmed,SW2,has_replication,approval ~ has_replication + log_studies,790,157,633,383,789.6388566004618,ok,,True,0.05081077303706493,0.25388239919231215,1.0521237842570732,0.6396784916245772,1.7305012938423037,0.8413749422619683,,3,3,True,1.0051657497156012,5.168299034752392
ipw_trimmed,SW3,has_replication,approval ~ has_replication + log_studies + earliest_year_centered,790,157,633,383,789.6388566004618,ok,,True,0.18941796866863694,0.32627968112540284,1.2085459812872261,0.637578128324396,2.2908304472802876,0.5615514242629108,,4,4,True,1.0064445865473004,13.717534749824726
ipw_trimmed,SW4,has_replication,approval ~ has_replication + log_studies + earliest_year_centered + mesh_C18 + mesh_C20 + mesh_C23 + mesh_C04 + mesh_C17 + mesh_C06 + mesh_C15 + mesh_C08 + mesh_C10 + mesh_C14 + mesh_F03 + mesh_C12 + mesh_C19 + mesh_C16 + mesh_C05,790,157,633,383,789.6388566004618,ok,,True,0.42031712434223023,0.3285191991799628,1.5224442832141492,0.7996599739085892,2.898527713175751,0.20074588366588642,,19,19,True,1.0260252205268197,36.42320536864333
unweighted,SW1,has_african,approval ~ has_african,790,157,633,383,790.0,ok,,True,0.5857435103074972,0.24732161137293077,1.796326076204882,1.1062789200519545,2.916793688794221,0.01786774667680939,,2,2,True,1.0038901586626625,2.426002128610445
unweighted,SW2,has_african,approval ~ has_african + log_studies,790,157,633,383,790.0,ok,,True,0.358403613448753,0.2957730377714834,1.4310430921721338,0.8014754895038454,2.5551428065770643,0.2256072711700734,,3,3,True,1.0051657497156012,5.643048116720302
unweighted,SW3,has_african,approval ~ has_african + log_studies + earliest_year_centered,790,157,633,383,790.0,ok,,True,0.34447418659739454,0.30064402874284096,1.4112476716026456,0.7828788801189294,2.543969496662544,0.251883065776054,,4,4,True,1.0064445865473004,13.671636843912747
unweighted,SW4,has_african,approval ~ has_african + log_studies + earliest_year_centered + mesh_C18 + mesh_C20 + mesh_C23 + mesh_C04 + mesh_C17 + mesh_C06 + mesh_C15 + mesh_C08 + mesh_C10 + mesh_C14 + mesh_F03 + mesh_C12 + mesh_C19 + mesh_C16 + mesh_C05,790,157,633,383,790.0,ok,,True,0.32541716260032116,0.32318620071247456,1.3846081322484147,0.7349034484167298,2.608695991315205,0.31398137897576506,,19,19,True,1.0260252205268197,36.46740610859044
ipw_untrimmed,SW1,has_african,approval ~ has_african,790,157,633,383,788.4793855532432,ok,,True,0.5874482927204191,0.2481116445971441,1.7993910331074785,1.1064518955776024,2.926298109270591,0.017900144194840397,,2,2,True,1.0038901586626625,2.426002128610445
ipw_untrimmed,SW2,has_african,approval ~ has_african + log_studies,790,157,633,383,788.4793855532432,ok,,True,0.3556069438801346,0.29586720699322355,1.427046528643554,0.7990896585691482,2.548477224145425,0.22939684227650858,,3,3,True,1.0051657497156012,5.643048116720302
ipw_untrimmed,SW3,has_african,approval ~ has_african + log_studies + earliest_year_centered,790,157,633,383,788.4793855532432,ok,,True,0.342174898056115,0.30085652434704396,1.4080065335860912,0.7807556437818279,2.539184204956064,0.25539793117611276,,4,4,True,1.0064445865473004,13.671636843912747
ipw_untrimmed,SW4,has_african,approval ~ has_african + log_studies + earliest_year_centered + mesh_C18 + mesh_C20 + mesh_C23 + mesh_C04 + mesh_C17 + mesh_C06 + mesh_C15 + mesh_C08 + mesh_C10 + mesh_C14 + mesh_F03 + mesh_C12 + mesh_C19 + mesh_C16 + mesh_C05,790,157,633,383,788.4793855532432,ok,,True,0.3248829299828314,0.32198094295945984,1.3838686269732337,0.7362481020164926,2.601150850474971,0.3129684401444235,,19,19,True,1.0260252205268197,36.46740610859044
ipw_trimmed,SW1,has_african,approval ~ has_african,790,157,633,383,789.6388566004618,ok,,True,0.5863034946695748,0.2473945752339514,1.7973322724175274,1.1067403100149047,2.9188448891231302,0.017792295735759446,,2,2,True,1.0038901586626625,2.426002128610445
ipw_trimmed,SW2,has_african,approval ~ has_african + log_studies,790,157,633,383,789.6388566004618,ok,,True,0.35524254727858157,0.2954977392975145,1.4265266124718545,0.7993771802115349,2.54570461412461,0.22929238712954159,,3,3,True,1.0051657497156012,5.643048116720302
ipw_trimmed,SW3,has_african,approval ~ has_african + log_studies + earliest_year_centered,790,157,633,383,789.6388566004618,ok,,True,0.3415534815045339,0.3004194980286343,1.40713184682195,0.7809392516976266,2.535434132727138,0.25557097089060554,,4,4,True,1.0064445865473004,13.671636843912747
ipw_trimmed,SW4,has_african,approval ~ has_african + log_studies + earliest_year_centered + mesh_C18 + mesh_C20 + mesh_C23 + mesh_C04 + mesh_C17 + mesh_C06 + mesh_C15 + mesh_C08 + mesh_C10 + mesh_C14 + mesh_F03 + mesh_C12 + mesh_C19 + mesh_C16 + mesh_C05,790,157,633,383,789.6388566004618,ok,,True,0.32432644593620913,0.3223961252084313,1.3830987403943693,0.7352399663473245,2.6018201039642816,0.3144216219749322,,19,19,True,1.0260252205268197,36.46740610859044
unweighted,SW1,has_east_asian,approval ~ has_east_asian,790,157,633,383,790.0,ok,,True,0.30327994366189903,0.22732111324640228,1.354293537272405,0.8673946189743854,2.114505837339031,0.18215545107725162,,2,2,True,1.0038901586626625,2.618033988749895
